path,line,kind,literal,context,call_context
src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,98,bool,true,"required: true,",
src/bolt_v3_archetypes/binary_oracle_edge_taker.rs,100,bool,false,"allow_no_resolution: false,",
src/bolt_v3_archetypes/complete_set_arbitrage.rs,73,bool,false,"is_post_only: false,",
src/bolt_v3_archetypes/complete_set_arbitrage.rs,74,bool,false,"is_reduce_only: false,",
src/bolt_v3_archetypes/complete_set_arbitrage.rs,75,bool,false,"is_quote_quantity: false,",
src/bolt_v3_basket_admission.rs,223,bool,false,reservation.release_on_drop = false;,
src/bolt_v3_basket_admission.rs,358,bool,true,.unwrap_or(true),
src/bolt_v3_basket_admission.rs,368,bool,true,"release_on_drop: true,",
src/bolt_v3_basket_execution.rs,42,bool,false,"Err(_) => false,",
src/bolt_v3_basket_execution.rs,178,bool,false,"reservation_held: false,",
src/bolt_v3_basket_execution.rs,179,bool,false,"unresolved_real_exposure: false,",
src/bolt_v3_basket_execution.rs,180,bool,false,"settled: false,",
src/bolt_v3_basket_execution.rs,311,bool,true,self.reservation_held = true;,
src/bolt_v3_basket_execution.rs,340,bool,true,self.settled = true;,
src/bolt_v3_basket_execution.rs,342,bool,true,self.unresolved_real_exposure = true;,
src/bolt_v3_basket_execution.rs,343,bool,true,self.reservation_held = true;,
src/bolt_v3_basket_execution.rs,377,bool,true,self.unresolved_real_exposure = true;,
src/bolt_v3_basket_execution.rs,378,bool,true,self.reservation_held = true;,
src/bolt_v3_basket_execution.rs,388,bool,true,self.settled = true;,
src/bolt_v3_basket_execution.rs,391,bool,true,self.reservation_held = true;,
src/bolt_v3_basket_execution.rs,403,bool,false,self.reservation_held = false;,
src/bolt_v3_basket_execution.rs,487,bool,true,self.unresolved_real_exposure = true;,
src/bolt_v3_basket_execution.rs,488,bool,true,self.reservation_held = true;,
src/bolt_v3_basket_execution.rs,505,bool,true,self.unresolved_real_exposure = true;,
src/bolt_v3_basket_execution.rs,506,bool,true,self.reservation_held = true;,
src/bolt_v3_basket_execution.rs,519,bool,false,self.unresolved_real_exposure = false;,
src/bolt_v3_basket_execution.rs,522,bool,true,self.unresolved_real_exposure = true;,
src/bolt_v3_basket_execution.rs,832,bool,false,"strategy_shell_may_call_submit_admission: false,",
src/bolt_v3_basket_execution.rs,833,bool,false,"strategy_shell_may_mutate_venue: false,",
src/bolt_v3_basket_execution.rs,834,bool,true,"shared_executor_owns_state_transitions: true,",
src/bolt_v3_basket_execution.rs,878,bool,false,"kill_switch_transition_context(false, false),",
src/bolt_v3_basket_execution.rs,878,bool,false,"kill_switch_transition_context(false, false),",
src/bolt_v3_basket_execution.rs,881,bool,true,"Ok(()) => true,",
src/bolt_v3_basket_execution.rs,888,bool,false,"kill_switch_transition_context(false, false),",
src/bolt_v3_basket_execution.rs,888,bool,false,"kill_switch_transition_context(false, false),",
src/bolt_v3_basket_execution.rs,928,bool,false,"operator_authorized: false,",
src/bolt_v3_basket_execution.rs,929,bool,false,"manual_reset_evidence_valid: false,",
src/bolt_v3_basket_execution.rs,930,bool,false,"mandatory_proof_streams_fresh: false,",
src/bolt_v3_basket_execution.rs,931,bool,false,"no_outstanding_order_risk: false,",
src/bolt_v3_basket_execution.rs,932,bool,false,"no_open_positions: false,",
src/bolt_v3_basket_execution.rs,933,bool,false,"no_pending_entry_risk: false,",
src/bolt_v3_binary_outcome_edge.rs,116,bool,false,"trade_allowed: false,",
src/bolt_v3_book_sizing.rs,149,bool,true,"true,",
src/bolt_v3_book_sizing.rs,161,bool,false,"false,",
src/bolt_v3_book_sizing.rs,283,bool,true,true,
src/bolt_v3_book_sizing.rs,286,bool,true,true,
src/bolt_v3_book_sizing.rs,288,bool,false,false,
src/bolt_v3_capital_admission.rs,206,bool,false,"accepted: false,",
src/bolt_v3_capital_admission.rs,219,bool,false,"accepted: false,",
src/bolt_v3_capital_admission.rs,230,bool,true,"accepted: true,",
src/bolt_v3_capital_admission.rs,367,bool,false,"accepted: false,",
src/bolt_v3_capital_admission.rs,529,bool,true,"accepted: true,",
src/bolt_v3_capital_admission.rs,546,bool,false,"accepted: false,",
src/bolt_v3_capital_admission.rs,566,bool,false,"accepted: false,",
src/bolt_v3_capital_admission_runtime_feed.rs,172,bool,false,"external_position_fill_trade_id_retention_exhausted: false,",
src/bolt_v3_capital_admission_runtime_feed.rs,286,bool,false,self.external_position_fill_trade_id_retention_exhausted = false;,
src/bolt_v3_capital_admission_runtime_feed.rs,491,bool,false,return false;,
src/bolt_v3_capital_admission_runtime_feed.rs,505,bool,false,return false;,
src/bolt_v3_capital_admission_runtime_feed.rs,511,bool,true,true,
src/bolt_v3_capital_admission_runtime_feed.rs,530,bool,true,self.external_position_fill_trade_id_retention_exhausted = true;,
src/bolt_v3_capital_admission_runtime_feed.rs,559,bool,false,"all_open_orders_attributed: false,",
src/bolt_v3_capital_admission_runtime_feed.rs,598,bool,false,.unwrap_or(false);,
src/bolt_v3_capital_admission_runtime_feed.rs,737,bool,false,let mut changed = false;,
src/bolt_v3_capital_admission_runtime_feed.rs,740,bool,true,*attributed = true;,
src/bolt_v3_capital_admission_runtime_feed.rs,741,bool,true,changed = true;,
src/bolt_v3_capital_reservation.rs,108,bool,false,"reconciliation_complete: false,",
src/bolt_v3_capital_reservation.rs,115,bool,true,"reconciliation_complete: true,",
src/bolt_v3_capital_reservation.rs,220,bool,true,"accepted: true,",
src/bolt_v3_capital_reservation.rs,291,bool,true,"accepted: true,",
src/bolt_v3_capital_reservation.rs,363,bool,true,"accepted: true,",
src/bolt_v3_capital_reservation.rs,377,bool,false,"accepted: false,",
src/bolt_v3_capital_reservation.rs,393,bool,false,"accepted: false,",
src/bolt_v3_capital_reservation.rs,401,bool,false,"accepted: false,",
src/bolt_v3_client_registration.rs,105,bool,false,let mut data_added = false;,
src/bolt_v3_client_registration.rs,106,bool,false,let mut exec_added = false;,
src/bolt_v3_client_registration.rs,114,bool,true,data_added = true;,
src/bolt_v3_client_registration.rs,127,bool,true,exec_added = true;,
src/bolt_v3_decision_evidence.rs,1828,bool,true,.unwrap_or(true);,
src/bolt_v3_decision_evidence.rs,2061,bool,true,options.append(true);,
src/bolt_v3_decision_evidence.rs,2068,bool,true,options.append(true).create_new(true);,
src/bolt_v3_decision_evidence.rs,2068,bool,true,options.append(true).create_new(true);,
src/bolt_v3_decision_evidence.rs,2090,bool,true,.read(true),
src/bolt_v3_decision_evidence.rs,2097,bool,true,fs::OpenOptions::new().read(true).open(path),
src/bolt_v3_executable_cost.rs,79,bool,false,"exact_size_filled: false,",
src/bolt_v3_executable_cost.rs,84,bool,false,"cost_available: false,",
src/bolt_v3_executable_cost.rs,102,bool,true,"OrderSide::Buy => (book.best_ask, true),",
src/bolt_v3_executable_cost.rs,103,bool,false,"OrderSide::Sell => (book.best_bid, false),",
src/bolt_v3_executable_cost.rs,196,bool,true,"exact_size_filled: true,",
src/bolt_v3_executable_cost.rs,251,bool,true,"cost_available: true,",
src/bolt_v3_fair_value_pricing.rs,98,bool,false,return false;,
src/bolt_v3_fair_value_pricing.rs,109,bool,false,return false;,
src/bolt_v3_fair_value_pricing.rs,115,bool,true,true,
src/bolt_v3_iv/authz.rs,41,bool,false,return false;,
src/bolt_v3_iv/authz.rs,48,bool,false,return false;,
